unit_id,unit_name,type,tonnage,Age of War / Star League,Early Succession War,Late Succession War - LosTech,Late Succession War - Renaissance,Clan Invasion,Civil War,Jihad,Early Republic,Dark Age,ilClan
5513,'Mech Hole  ,Building,39,,,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General
5514,'Mech Trap  ,Building,105,,,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General
2,AA Jump Infantry  ,Infantry,4,,,,,Free Worlds League,Free Worlds League,Free Worlds League,Fronc Reaches; Inner Sphere General; Kell Hounds; Magistracy of Canopus; Mercenary; Rasalhague Dominion; Raven Alliance,Fronc Reaches; Inner Sphere General; Kell Hounds; Magistracy of Canopus; Rasalhague Dominion; Raven Alliance,Fronc Reaches; Inner Sphere General; Kell Hounds; Magistracy of Canopus; Rasalhague Dominion; Raven Alliance
3,AA Mechanized infantry  ,Infantry,20,,HW Clan General,HW Clan General,HW Clan General,HW Clan General; IS Clan General,HW Clan General; IS Clan General,Escorpión Imperio; HW Clan General; IS Clan General; Society,Escorpión Imperio; IS Clan General,Escorpión Imperio; IS Clan General; Scorpion Empire,IS Clan General; Scorpion Empire
5,AC/2 Carrier,Combat Vehicle,60,Draconis Combine; Federated Suns; Lyran Commonwealth; Rim Worlds Republic - Terran Corps; Star League General,Inner Sphere General; Mercenary; Periphery General,Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,Escorpión Imperio; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,Escorpión Imperio; Inner Sphere General; Mercenary; Periphery General,Escorpión Imperio; Inner Sphere General; Periphery General; Scorpion Empire,Inner Sphere General; Periphery General; Scorpion Empire
4,AC/2 Carrier (LB-X),Combat Vehicle,60,,,,,,Inner Sphere General; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Mercenary; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General; Star League (Clan Jade Falcon); Star League (Clan Smoke Jaguar); Star League (Clan Wolf)
5588,AC/2 Carrier (Primitive),Support Vehicle,55,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
6,Achileus Light Battle Armor (WoB) (Sqd4),Infantry,0.75,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,Extinct,Extinct,
8472,Achileus Light Battle Armor (WoB) (Sqd5),Infantry,0.75,,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,Extinct,Extinct,
8837,Achileus Light Battle Armor (WoB) (Sqd6),Infantry,0.75,,,,,,Word of Blake,Word of Blake,Extinct,Extinct,
7,Achileus Light Battle Armor [David] (Sqd4),Infantry,0.75,,,,,,Free Worlds League,Capellan Confederation; Free Worlds League; Magistracy of Canopus; Mercenary,Capellan Confederation; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Mercenary; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
8473,Achileus Light Battle Armor [David] (Sqd5),Infantry,0.75,,,,,,BA: Other Squad Size in Use,Escorpión Imperio,Escorpión Imperio,Escorpión Imperio; Scorpion Empire,Scorpion Empire
8838,Achileus Light Battle Armor [David] (Sqd6),Infantry,0.75,,,,,,Word of Blake,Word of Blake,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
8,Achileus Light Battle Armor [Flamer] (Sqd4),Infantry,0.75,,,,,Free Worlds League,Free Worlds League,Capellan Confederation; Free Worlds League; Magistracy of Canopus; Mercenary,Capellan Confederation; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Mercenary; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
8474,Achileus Light Battle Armor [Flamer] (Sqd5),Infantry,0.75,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,Escorpión Imperio,Escorpión Imperio,Escorpión Imperio; Scorpion Empire,Scorpion Empire
8839,Achileus Light Battle Armor [Flamer] (Sqd6),Infantry,0.75,,,,,Word of Blake,Word of Blake,Word of Blake,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
9,Achileus Light Battle Armor [Laser] (Sqd4),Infantry,0.75,,,,,Free Worlds League,Free Worlds League,Capellan Confederation; Free Worlds League; Magistracy of Canopus; Mercenary,Capellan Confederation; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Mercenary; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
8475,Achileus Light Battle Armor [Laser] (Sqd5),Infantry,0.75,,,,,BA: Other Squad Size in Use,BA: Other Squad Size in Use,Escorpión Imperio,Escorpión Imperio,Escorpión Imperio; Scorpion Empire,Scorpion Empire
8840,Achileus Light Battle Armor [Laser] (Sqd6),Infantry,0.75,,,,,Word of Blake,Word of Blake,Word of Blake,BA: Other Squad Size in Use,BA: Other Squad Size in Use,BA: Other Squad Size in Use
10,Achileus Light Battle Armor [MG] (Sqd4),Infantry,0.75,,,,,Free Worlds League,Free Worlds League,Capellan Confederation; Free Worlds League; Magistracy of Canopus; Mercenary,Capellan Confederation; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Mercenary; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Magistracy of Canopus; Republic of the Sphere,Capellan Confederation; Free Worlds League; Free Worlds League (Duchy of Andurien); Magistracy of Canopus
