unit_id,unit_name,bv2
5513,'Mech Hole,0
5514,'Mech Trap,0
2,AA Jump Infantry,98
3,AA Mechanized infantry,85
5,AC/2 Carrier,403
4,AC/2 Carrier (LB-X),536
5588,AC/2 Carrier (Primitive),351
6,Achileus Light Battle Armor (WoB) (Sqd4),150
8472,Achileus Light Battle Armor (WoB) (Sqd5),202
8837,Achileus Light Battle Armor (WoB) (Sqd6),259
7,Achileus Light Battle Armor [David] (Sqd4),189
8473,Achileus Light Battle Armor [David] (Sqd5),255
8838,Achileus Light Battle Armor [David] (Sqd6),327
8,Achileus Light Battle Armor [Flamer] (Sqd4),173
8474,Achileus Light Battle Armor [Flamer] (Sqd5),233
8839,Achileus Light Battle Armor [Flamer] (Sqd6),300
9,Achileus Light Battle Armor [Laser] (Sqd4),205
8475,Achileus Light Battle Armor [Laser] (Sqd5),276
8840,Achileus Light Battle Armor [Laser] (Sqd6),355
10,Achileus Light Battle Armor [MG] (Sqd4),173
8476,Achileus Light Battle Armor [MG] (Sqd5),233
8841,Achileus Light Battle Armor [MG] (Sqd6),300
11,Achileus Light Battle Armor [TAG] (Sqd4),133
8477,Achileus Light Battle Armor [TAG] (Sqd5),179
8842,Achileus Light Battle Armor [TAG] (Sqd6),230
3667,Achilles (2582),0
3668,Achilles (3055),0
601,Ad Hoc Clan Foot Infantry,129
3669,Adelante Passenger/Cargo Train,0
3670,Aegis Heavy Cruiser (2372),0
3671,Aegis Heavy Cruiser (2582),153005
3672,Aegis Heavy Cruiser (Clan),0
7388,Aegis Point Defense Suit (Sqd4),179
8829,Aegis Point Defense Suit (Sqd5),242
9192,Aegis Point Defense Suit (Sqd6),311
12,Aerial Beast Infantry,43
3673,Aerie PA(L) (Salvage) (Sqd4),27
8600,Aerie PA(L) (Salvage) (Sqd5),37
8964,Aerie PA(L) (Salvage) (Sqd6),47
3674,Aerie PA(L) (Sqd4),27
8601,Aerie PA(L) (Sqd5),37
8965,Aerie PA(L) (Sqd6),47
14,Aeron Strike VTOL,875
13,Aeron Strike VTOL (BAP),775
15,Aeshna Heavy Drone Fighter,2032
3675,Aeshna Heavy Drone Fighter (Original),0
3676,Aesir Assault DropShip,0
6249,Aesir Medium AA Vehicle,768
6250,Aesir Medium AA Vehicle (HAG),1505
3677,Afreet Medium Battle Armor (Hell's Horses) (Sqd4),164
8602,Afreet Medium Battle Armor (Hell's Horses) (Sqd5),221
8966,Afreet Medium Battle Armor (Hell's Horses) (Sqd6),285
16,Afreet Medium Battle Armor (Interdictor) (Sqd4),189
8478,Afreet Medium Battle Armor (Interdictor) (Sqd5),255
8843,Afreet Medium Battle Armor (Interdictor) (Sqd6),327
3678,Afreet Medium Battle Armor (Jade Falcon) (Sqd4),326
8603,Afreet Medium Battle Armor (Jade Falcon) (Sqd5),439
8967,Afreet Medium Battle Armor (Jade Falcon) (Sqd6),565
3679,Afreet Medium Battle Armor (Sqd4),217
8604,Afreet Medium Battle Armor (Sqd5),292
8968,Afreet Medium Battle Armor (Sqd6),376
3680,Agamemnon Heavy Cruiser,162059
6459,Agrotera AGT-1A,1578
8365,"Agrotera AGT-UA ""Ariel""",2199
17,Ahab AHB-443,1738
3681,Ahab AHB-443b,1889
18,Ahab AHB-643,1537
19,Ahab AHB-MD,1876
20,Ahab AHB-X,1818
3682,Ahab Whaler,0
5579,Ailette Rescue PA(L) (Sqd4),28
8708,Ailette Rescue PA(L) (Sqd5),38
9072,Ailette Rescue PA(L) (Sqd6),49
3683,Ailette Zero-G Engineering Exoskeleton (Sqd4),20
8605,Ailette Zero-G Engineering Exoskeleton (Sqd5),27
8969,Ailette Zero-G Engineering Exoskeleton (Sqd6),35
3684,Air Car,0
5375,AirRescue VTOL,0
3685,Aithon Assault Transport,1666
3686,Aithon Assault Transport 2,0
21,Ajax Assault Tank (Sealed),1551
